universe_id,universe_training_year,universe_training_size,universe_scale,universe_model,universe_exclude_features,universe_exclude_subgroups,q_hat,coverage,avg_size,cov_frau1,cov_nongerman,cov_nongerman_male,cov_nongerman_female
2c8e354810cd2f3da740f49caef855cc,2014,25k,do-not-scale,penalized_logreg,nationality,drop-non-german,0.6651540929942219,0.9130197302418904,1.2314123286144243,0.9116862110796604,0.9489698534777972,0.9582995586778348,0.933532041728763
b3e5ff1ac7f4a690812ff2b6e3865102,2010_14,25k,scale,logreg,none,drop-non-german,0.6594676984826767,0.9101326496488684,1.1249804926986957,0.9079929909691332,0.9102340986919666,0.927136809871206,0.8822652757078987
60ebf4699c19f6b356b9cca1ba7479d8,2014,25k,do-not-scale,elasticnet,nationality-sex,keep-all,0.6608873986645221,0.9133875822093412,1.2608070449225282,0.9121175360560724,0.9627238533655196,0.9702783031613078,0.9502235469448584
7dcb17bf3ac567971f18ec545291c841,2012_14,25k,scale,gbm,age,drop-non-german,0.6778659500485036,0.9112807936684874,1.1217478541968566,0.9117670845127376,0.9061921068882276,0.9231739169593804,0.8780923994038748
7f39ef5a5ec5b613bff31e35ea9a259f,2014,25k,do-not-scale,penalized_logreg,age,keep-all,0.6509375410538707,0.9130977594471074,1.252903801136997,0.913088017252999,0.963116824790883,0.9686571196973792,0.9539493293591654
312ed0dce7f107a0e3861330b57c5dfb,2014,25k,do-not-scale,penalized_logreg,none,keep-all,0.6815929549826574,0.911648645635938,1.1988852970683312,0.9095565440086264,0.928030090383428,0.9422678555345402,0.9044709388971685
8ecfb7e94b67b788c84c76e88f346712,2010_14,25k,scale,logreg,nationality-sex,keep-all,0.6599275646383496,0.9103555902352024,1.1250362278452792,0.9104731095835018,0.9119182619435244,0.92704674412321,0.8868852459016393
c14f35365e2a6f71fff55f9f30f12e75,2014,25k,scale,rf,none,keep-all,0.6699999999999999,0.9166982499163971,1.152223832348679,0.9167273217414746,0.9157356986470556,0.9285778618391426,0.8944858420268257
2b51afa0cb0a544c054f51b32904ea49,2014,25k,do-not-scale,rf,nationality-sex,drop-non-german,0.6599999999999999,0.9149147252257274,1.1468955523353026,0.9148133171586468,0.9159041149722114,0.9286679275871386,0.8947839046199701
8b9dcadb7f741fbaac266164642ddf46,2014,25k,do-not-scale,rf,sex,drop-non-german,0.6599999999999999,0.9132984059748076,1.1428826217812953,0.9126566922765872,0.913658563970134,0.926956678375214,0.8916542473919523
c9ad70e6f462c78d957ed943d17f714a,2014,25k,scale,elasticnet,nationality-sex,drop-non-german,0.6760322756471857,0.9126518782744398,1.1258165198974472,0.9128993125758188,0.912142817043732,0.9267765468792218,0.8879284649776453
d767f23e07841c46094b956e75fbbfc7,2014,25k,do-not-scale,elasticnet,nationality-sex,drop-non-german,0.6541505566257405,0.9136885520008916,1.2644744175677185,0.9124949454104326,0.9635097962162466,0.9712690263892642,0.9506706408345752
